Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HD135344B	EXTENDED	False	2364.336	228.95169010566005	-37.15457207025464	jw01282_20241001t050842_pool.csv	False	jw01282-o055_t057_miri
Protostellar Binaries		EXTENDED	False	333.006	52.231455603835144	31.24355755535289	jw01236_20240701t000531_pool.csv	False	jw01236-o007_t007_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	WX-Cha	POINT	False	3629.747999999999	167.4936429739667	-77.61912750209027	jw01282_20241001t050842_pool.csv	False	jw01282-o123_t035_miri
!!!Protostellar Binaries!!!		EXTENDED	False	3130.248	55.98736279517095	32.05109460941692	jw01236_20240701t000531_pool.csv	False	jw01236-o009_t009_miri
A JWST Survey of Ultraluminous Infrared Galaxies	IRAS 22491-1808	EXTENDED	False	12183.856	342.94709780493184	-17.882356341101804	jw03368_20240614t135358_pool.csv	False	jw03368-c1012_t029_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HD172555	POINT	False	1964.7240000000004	281.3625540609753	-64.8722313230952	jw01282_20241001t050842_pool.csv	False	jw01282-o039_t042_miri
!!!MIRI External Flat Field - MRS!!!	NGC 6543-BACKGROUND	UNKNOWN	False	849.162	269.6189351563236	66.63437246263902	jw01047_20240717t031258_pool.csv	False	jw01047-o002_t007_miri
!!!Protostellar Binaries!!!		EXTENDED	False	3113.5919999999996	52.29365233907324	31.22543748152193	jw01236_20240701t000531_pool.csv	False	jw01236-o008_t008_miri
Protostellar Binaries		EXTENDED	False	333.006	52.24715948608864	31.263467845308814	jw01236_20240701t000531_pool.csv	False	jw01236-o006_t006_miri
Protostellar Binaries		EXTENDED	False	333.006	51.28922804941975	30.77259743776959	jw01236_20240701t000531_pool.csv	False	jw01236-o001_t001_miri
MIRI EC Protostars Survey	G28IRS2	EXTENDED	False	599.406	280.7165620303705	-3.9983173491097928	jw01290_20240702t102756_pool.csv	False	jw01290-o035_t033_miri
MIRI EC Protostars Survey	IRAS 04381+2540	EXTENDED	False	599.406	70.3028538469663	25.776355789842896	jw01290_20240702t102756_pool.csv	False	jw01290-o015_t015_miri
